GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000114982	2	97258907	97308524	38	9	838503	0.2565	0.39878	KANSL3
ENSG00000114988	2	97371666	97405801	33	5	838503	-0.06806	0.52713	LMAN2L
ENSG00000158158	2	97426639	97477628	58	6	838503	0.34571	0.36478	CNNM4
ENSG00000168763	2	97481982	97499648	19	3	838503	0.88026	0.18936	CNNM3
ENSG00000163126	2	97490263	97523671	36	4	838503	1.2419	0.10714	ANKRD23
ENSG00000213337	2	97502348	97523832	22	4	838503	1.325	0.092592	ANKRD39
ENSG00000168758	2	97525453	97536494	6	3	838503	-0.094625	0.53769	SEMA4C
ENSG00000168754	2	97541620	97684175	251	18	838503	0.62391	0.26634	FAM178B
ENSG00000135976	2	97779233	97930258	4	2	838503	0.60939	0.27113	ANKRD36
ENSG00000115073	2	98272431	98280570	12	3	838503	0.95713	0.16925	ACTR1B
ENSG00000115085	2	98330023	98356325	40	7	838503	0.87088	0.19191	ZAP70
ENSG00000075568	2	98372799	98612388	414	23	838503	1.0284	0.15188	TMEM131
ENSG00000168658	2	98703579	98929762	543	35	838503	-0.012969	0.50517	VWA3B
ENSG00000222000	2	98947852	98972468	70	12	838503	0.07872	0.46863	AC092675.3
ENSG00000144191	2	98962618	99015064	167	18	838503	0.58092	0.28065	CNGA3
ENSG00000040933	2	99061317	99210853	212	12	838503	0.97083	0.16582	INPP4A
ENSG00000183513	2	99215773	99224978	16	1	838503	0.50274	0.30758	COA5
ENSG00000115446	2	99225042	99234978	12	2	838503	0.61622	0.26888	UNC50
ENSG00000071073	2	99235569	99347589	229	29	838503	0.67993	0.24827	MGAT4A
ENSG00000196872	2	99410309	99552722	341	26	838503	-0.33373	0.63071	KIAA1211L
ENSG00000135951	2	99613724	99771427	331	18	838503	0.67802	0.24888	TSGA10
ENSG00000273045	2	99757948	99767950	19	4	838503	0.44991	0.32639	C2ORF15
ENSG00000241962	2	99757948	99939204	362	26	838503	0.4258	0.33513	C2orf15
ENSG00000144182	2	99771418	99779620	25	5	838503	0.39859	0.3451	LIPT1
ENSG00000273155	2	99771461	99811761	90	8	838503	0.31553	0.37618	MRPL30
ENSG00000158411	2	99777890	99797521	35	4	838503	0.1345	0.4465	MITD1
ENSG00000185414	2	99797542	99814089	37	6	838503	0.43638	0.33128	MRPL30
ENSG00000185674	2	99858709	99871745	19	7	838503	0.89758	0.1847	LYG2
ENSG00000144214	2	99900701	99921205	32	5	838503	0.64365	0.2599	LYG1
ENSG00000115514	2	99935445	99957165	44	7	838503	0.78819	0.21529	TXNDC9
ENSG00000158417	2	99953816	100017789	119	12	838503	1.1691	0.12118	EIF5B
ENSG00000135945	2	100016938	100106497	189	14	838503	1.1884	0.11733	REV1
ENSG00000144218	2	100162323	100759201	1120	61	838503	-1.1146	0.86748	AFF3
ENSG00000170500	2	100889753	100939195	157	9	838503	0.33543	0.36865	LONRF2
ENSG00000269383	2	100986705	100987007	3	1	838503	0.4757	0.31715	AC012493.2
ENSG00000115526	2	101008327	101034118	89	13	838503	0.19642	0.42214	CHST10
ENSG00000204640	2	101086944	101099742	50	5	838503	0.56636	0.28557	NMS
ENSG00000115539	2	101179152	101193197	33	5	838503	1.45	0.073529	PDCL3
ENSG00000170485	2	101436614	101613291	465	75	838503	0.41023	0.34082	NPAS2
ENSG00000071082	2	101618177	101640494	47	8	838503	0.63336	0.26325	RPL31
ENSG00000204634	2	101624079	101869328	515	37	838503	-1.3931	0.9182	TBC1D8
ENSG00000158435	2	101869264	101886778	21	7	838503	-0.82174	0.79439	CNOT11
ENSG00000163162	2	101887681	101925163	45	8	838503	-1.0556	0.85442	RNF149
ENSG00000175874	2	101962013	102004057	94	10	838503	-0.71157	0.76164	CREG2
ENSG00000196460	2	102013823	102091165	281	16	838503	-0.50038	0.6916	RFX8
ENSG00000071054	2	102313312	102511149	325	29	838503	0.64243	0.2603	MAP4K4
ENSG00000233404	2	102508955	102511150	3	2	838503	0.48182	0.31497	FLJ20373
ENSG00000115590	2	102608306	102645006	125	9	838503	-0.70992	0.76112	IL1R2
ENSG00000115594	2	102681004	102796334	367	44	838503	-0.48419	0.68587	IL1R1
ENSG00000115598	2	102803433	102856462	242	18	838503	0.014234	0.49432	IL1RL2
ENSG00000115602	2	102927962	102968497	152	14	838503	-1.944	0.97405	IL1RL1
ENSG00000115604	2	102927989	103015218	324	23	838503	-2.0841	0.98143	IL18R1
ENSG00000115607	2	103035149	103069025	136	14	838503	-1.8606	0.9686	IL18RAP
ENSG00000180251	2	103089762	103150431	241	19	838503	0.23769	0.40606	SLC9A4
ENSG00000115616	2	103236166	103327777	180	27	838503	0.73742	0.23043	SLC9A2
ENSG00000135953	2	103332299	103353347	32	6	838503	0.236	0.40671	MFSD9
ENSG00000170417	2	103353367	103460352	192	14	838503	0.51539	0.30314	TMEM182
ENSG00000198914	2	105471969	105476929	6	2	838503	0.11579	0.45391	POU3F3
ENSG00000135972	2	105654441	105716418	204	7	838503	-0.26608	0.60491	MRPS9
ENSG00000135973	2	105858200	105859924	1	1	838503	-0.17561	0.5697	GPR45
ENSG00000268556	2	105867759	105869601	4	1	838503	0.11832	0.45291	AC012360.1
ENSG00000135966	2	105880871	105946491	173	22	838503	-1.0792	0.85975	TGFBRAP1
ENSG00000135974	2	105953816	105965668	26	7	838503	-0.87958	0.81046	C2orf49
ENSG00000115641	2	105974169	106054970	217	37	838503	-1.0836	0.86072	FHL2
ENSG00000071051	2	106361354	106510730	486	41	838503	-0.34563	0.63519	NCK2
ENSG00000119147	2	106679702	106694615	28	9	838503	1.4516	0.0733	C2orf40
ENSG00000115652	2	106709759	106810795	197	24	838503	1.5844	0.056554	UXS1
ENSG00000269000	2	107099728	107103848	1	1	838503	-0.31653	0.6242	AC108868.1
ENSG00000144057	2	107418056	107503564	293	28	838503	1.1367	0.12782	ST6GAL2
ENSG00000196862	2	108443388	108507297	4	1	838503	-0.52004	0.69848	RGPD4
ENSG00000115665	2	108602979	108630450	58	17	838503	0.90217	0.18348	SLC5A7
ENSG00000196228	2	108863651	108881807	51	10	838503	-0.60988	0.72903	SULT1C3
ENSG00000198203	2	108905095	108926371	60	13	838503	0.69645	0.24307	SULT1C2
ENSG00000198075	2	108994367	109004513	22	5	838503	-0.042985	0.51714	SULT1C4
ENSG00000135968	2	109065017	109125871	187	15	838503	-1.0524	0.85369	GCC2
ENSG00000169756	2	109150857	109303702	319	27	838503	-1.3881	0.91745	LIMS1
ENSG00000153201	2	109335937	109402267	75	4	838503	-1.0305	0.84861	RANBP2
ENSG00000163006	2	109403213	109501933	151	10	838503	-0.82445	0.79516	CCDC138
ENSG00000135960	2	109510927	109605828	273	29	838503	-1.3964	0.9187	EDAR
ENSG00000172985	2	109745804	110262207	1029	76	838503	-0.1699	0.56746	SH3RF3
ENSG00000186522	2	110300559	110371783	148	15	838503	-0.7237	0.76538	SEPT10
ENSG00000198142	2	110371911	110376563	9	2	838503	-0.13351	0.5531	SOWAHC
ENSG00000144063	2	110841447	110874143	26	5	838503	-0.049056	0.51956	MALL
ENSG00000144061	2	110879888	110962643	100	5	838503	1.3681	0.085643	NPHP1
ENSG00000169679	2	111395275	111435691	19	1	838503	0.016148	0.49356	BUB1
ENSG00000153093	2	111490150	111875799	971	78	838503	-0.072118	0.52875	ACOXL
ENSG00000153094	2	111876955	111926024	86	13	838503	0.65997	0.25464	BCL2L11
ENSG00000153107	2	112523848	112642267	53	3	838503	1.841	0.032814	ANAPC1
ENSG00000153208	2	112656056	112787138	391	21	838503	-0.88443	0.81177	MERTK
ENSG00000153214	2	112812800	112876895	142	21	838503	-0.39557	0.65379	TMEM87B
ENSG00000144152	2	112895962	112945791	108	17	838503	-1.0661	0.8568	FBLN7
ENSG00000144161	2	112969102	113012713	33	5	838503	-0.64575	0.74078	ZC3H8
ENSG00000188177	2	113033171	113097640	85	5	838503	-1.214	0.88762	ZC3H6
ENSG00000114999	2	113239731	113299316	120	12	838503	-1.1644	0.87787	TTL
ENSG00000125630	2	113299492	113334635	99	12	838503	0.80799	0.20955	POLR1B
ENSG00000125611	2	113341817	113346852	12	4	838503	1.5642	0.05888	CHCHD5
ENSG00000144136	2	113403434	113421404	27	5	838503	0.091462	0.46356	SLC20A1
ENSG00000144130	2	113479063	113500456	32	4	838503	1.778	0.037702	NT5DC4
ENSG00000169607	2	113493930	113522254	35	4	838503	1.6263	0.051938	CKAP2L
ENSG00000115008	2	113531492	113542167	26	4	838503	0.92552	0.17735	IL1A
ENSG00000125538	2	113587328	113594480	13	4	838503	1.8424	0.032707	IL1B
ENSG00000125571	2	113670548	113676459	36	2	838503	-0.71755	0.76348	IL37
ENSG00000136688	2	113730780	113743242	20	5	838503	1.8296	0.033658	IL36G
ENSG00000136694	2	113763038	113765621	7	3	838503	2.007	0.022377	IL36A
ENSG00000136696	2	113779668	113810444	89	11	838503	-0.25465	0.6005	IL36B
ENSG00000136695	2	113816215	113822959	42	3	838503	-0.39256	0.65268	IL36RN
ENSG00000136697	2	113825547	113833427	38	8	838503	-0.52787	0.7012	IL1F10
ENSG00000136689	2	113864791	113891593	102	8	838503	-1.1978	0.8845	IL1RN
ENSG00000125637	2	113914902	113966973	129	25	838503	0.29596	0.38363	PSD4
ENSG00000125618	2	113973574	114036527	197	21	838503	1.4535	0.073046	PAX8
ENSG00000115084	2	114462588	114514400	136	14	838503	-1.9183	0.97247	SLC35F5
ENSG00000115091	2	114647537	114720173	225	18	838503	1.0648	0.14348	ACTR3
ENSG00000175497	2	115199876	116603328	3030	155	838503	1.302	0.096465	DPP10
ENSG00000088205	2	118572226	118589955	49	10	838503	0.24631	0.40272	DDX18
ENSG00000125633	2	118673054	118771709	296	26	838503	-0.36269	0.64158	CCDC93
ENSG00000125629	2	118846028	118868573	47	15	838503	-0.7299	0.76728	INSIG2
ENSG00000163064	2	119599747	119605254	5	2	838503	0.57487	0.28269	EN1
ENSG00000019169	2	119699742	119752236	182	21	838503	0.78347	0.21667	MARCO
ENSG00000144119	2	119913819	119916465	5	1	838503	-0.27156	0.60702	C1QL2
ENSG00000115107	2	119981384	120023228	146	20	838503	-0.65014	0.7422	STEAP3
ENSG00000186132	2	120059801	120124404	205	27	838503	0.50008	0.30851	C2orf76
ENSG00000155368	2	120124497	120130126	23	5	838503	0.45499	0.32456	DBI
ENSG00000171227	2	120187477	120196096	20	4	838503	1.1189	0.13158	TMEM37
ENSG00000080293	2	120197419	120282070	215	21	838503	-0.014237	0.50568	SCTR
ENSG00000163075	2	120302008	120419827	169	15	838503	-1.0941	0.86305	PCDP1
ENSG00000144120	2	120436743	120444083	32	5	838503	-0.46117	0.67766	TMEM177
ENSG00000088179	2	120517207	120741394	320	19	838503	-0.93288	0.82456	PTPN4
ENSG00000115109	2	120770581	120936695	240	11	838503	-0.70856	0.7607	EPB41L5
ENSG00000226479	2	120978854	120980984	3	1	838503	-0.73197	0.76791	TMEM185B
ENSG00000144118	2	120997640	121052289	125	7	838503	-1.1773	0.88047	RALB
ENSG00000268194	2	121221911	121223697	6	2	838503	0.64659	0.25895	LINC01101
ENSG00000074047	2	121493199	121750229	506	65	838503	-0.35205	0.6376	GLI2
ENSG00000115112	2	121974163	122042783	117	17	838503	0.32643	0.37205	TFCP2L1
ENSG00000074054	2	122095352	122407163	571	12	838503	-0.15974	0.56346	CLASP1
ENSG00000155438	2	122484521	122494499	25	4	838503	1.9985	0.022832	NIFK
ENSG00000211460	2	122494679	122525429	41	7	838503	0.16349	0.43507	TSN
ENSG00000155052	2	124782864	125672864	2459	155	838503	-1.3098	0.90486	CNTNAP5
ENSG00000136732	2	127413509	127454246	149	26	838503	1.2347	0.10847	GYPC
ENSG00000237524	2	127656472	127659673	16	3	838503	1.0864	0.13865	AC114783.1
ENSG00000136717	2	127805603	127864931	208	25	838503	0.24416	0.40355	BIN1
ENSG00000186684	2	127941696	127977654	95	13	838503	-0.51221	0.69575	CYP27C1
ENSG00000163161	2	128014866	128051752	68	13	838503	-1.8255	0.96604	ERCC3
ENSG00000169967	2	128056306	128146041	194	19	838503	-1.7322	0.95838	MAP3K2
ENSG00000115718	2	128176003	128186822	26	5	838503	-0.29376	0.61553	PROC
ENSG00000163166	2	128193783	128284462	208	20	838503	0.053014	0.47886	IWS1
ENSG00000169994	2	128293378	128395304	267	32	838503	1.0686	0.14263	MYO7B
ENSG00000072163	2	128395956	128439360	138	27	838503	0.61552	0.2691	LIMS2
ENSG00000144230	2	128403439	128410213	16	6	838503	-0.67734	0.7509	GPR17
ENSG00000136709	2	128458596	128568761	237	30	838503	1.2018	0.11473	WDR33
ENSG00000173349	2	128458597	128461385	3	1	838503	-0.13503	0.55371	SFT2D3
ENSG00000144231	2	128603840	128615731	25	4	838503	0.61718	0.26856	POLR2D
ENSG00000144233	2	128619204	128643496	42	8	838503	-0.51061	0.69519	AMMECR1L
ENSG00000136715	2	128698791	128785694	158	15	838503	-0.50876	0.69454	SAP130
ENSG00000136731	2	128848774	128953251	224	15	838503	1.183	0.1184	UGGT1
ENSG00000136720	2	128994290	129076151	222	33	838503	0.54829	0.29175	HS6ST1
ENSG00000152076	2	130896860	130902707	4	1	838503	0.47606	0.31701	CCDC74B
ENSG00000136699	2	130908981	130940323	31	1	838503	0.81389	0.20785	SMPD4
ENSG00000152082	2	130939310	130948302	15	1	838503	0.52516	0.29974	MZT2B
ENSG00000152086	2	130949318	130956034	9	1	838503	0.74515	0.22809	TUBA3E
ENSG00000136710	2	131095814	131099922	2	1	838503	-1.5435	0.93864	CCDC115
ENSG00000136718	2	131099798	131105383	6	2	838503	-0.68313	0.75274	IMP4
ENSG00000072135	2	131113580	131132982	17	1	838503	-0.0049122	0.50196	PTPN18
ENSG00000173302	2	131486643	131487909	3	1	838503	1.5506	0.060495	GPR148
ENSG00000178171	2	131513008	131525707	8	2	838503	1.2475	0.10612	AMER3
ENSG00000136002	2	131594489	131804836	441	47	838503	-0.88808	0.81275	ARHGEF4
ENSG00000152102	2	131805449	131851033	36	2	838503	-1.0886	0.86183	FAM168B
ENSG00000115762	2	131862420	132111282	150	6	838503	0.47185	0.31852	PLEKHB2
ENSG00000173272	2	132222473	132250316	59	2	838503	0.3834	0.35071	MZT2A
ENSG00000075886	2	132233666	132240507	19	1	838503	0.52902	0.29839	TUBA3D
ENSG00000197927	2	132479948	132524973	22	2	838503	0.4473	0.32733	C2orf27A
ENSG00000186825	2	132552534	132559234	2	1	838503	0.20169	0.42008	C2orf27B
ENSG00000183840	2	133174147	133404132	560	53	838503	1.583	0.056711	GPR39
ENSG00000150551	2	133402426	133429152	70	7	838503	-0.63193	0.73628	LYPD1
ENSG00000176771	2	133429374	134326034	1987	184	838503	0.48462	0.31397	NCKAP5
ENSG00000269686	2	133874577	133876625	6	2	838503	-0.74735	0.77257	AC011755.1
ENSG00000152127	2	134877554	135212192	852	88	838503	0.83942	0.20062	MGAT5
ENSG00000152128	2	135213330	135476570	656	53	838503	0.32124	0.37401	TMEM163
ENSG00000153086	2	135596117	135659604	127	11	838503	-0.54623	0.70755	ACMSD
ENSG00000082258	2	135675805	135716912	89	10	838503	-0.29418	0.61569	CCNT2
ENSG00000176601	2	135722061	135805038	188	16	838503	-0.38434	0.64964	MAP3K19
ENSG00000115839	2	135809835	135933964	165	13	838503	1.5942	0.055447	RAB3GAP1
ENSG00000121988	2	135894486	136288806	545	13	838503	1.3313	0.091549	ZRANB3
ENSG00000048991	2	136289025	136482840	231	20	838503	0.96385	0.16756	R3HDM1
ENSG00000144224	2	136499189	136542625	82	9	838503	-0.37525	0.64626	UBXN4
ENSG00000115850	2	136545410	136594750	99	9	838503	0.8696	0.19226	LCT
ENSG00000076003	2	136597196	136633996	61	7	838503	0.84852	0.19807	MCM6
ENSG00000115866	2	136664247	136743670	103	8	838503	0.40252	0.34365	DARS
ENSG00000121966	2	136871919	136875735	6	3	838503	2.2481	0.012285	CXCR4
ENSG00000144229	2	137523115	138435287	3069	130	838503	-0.97173	0.83441	THSD7B
ENSG00000150540	2	138721590	138773930	77	5	838503	0.49614	0.3099	HNMT
ENSG00000144228	2	139259371	139331117	102	13	838503	-0.12058	0.54799	SPOPL
ENSG00000144227	2	139428342	139537918	273	35	838503	1.3202	0.093389	NXPH2
ENSG00000168702	2	140988992	142889270	6919	330	838503	0.36003	0.35941	LRP1B
ENSG00000115919	2	143635067	143799890	428	45	838503	1.4679	0.07107	KYNU
ENSG00000075884	2	143848931	144525921	1321	104	838503	-1.9242	0.97284	ARHGAP15
ENSG00000121964	2	144695635	145090135	406	32	838503	-0.27607	0.60875	GTDC1
ENSG00000169554	2	145141648	145282147	161	31	838503	-0.25866	0.60205	ZEB2
ENSG00000121989	2	148602086	148688393	107	15	838503	1.1593	0.12317	ACVR2A
ENSG00000115947	2	148687968	148779147	137	12	838503	1.3443	0.089427	ORC4
ENSG00000204406	2	148778580	149275805	921	57	838503	0.25908	0.39779	MBD5
ENSG00000135999	2	149402009	149545130	255	12	838503	-0.82785	0.79612	EPC2
ENSG00000168280	2	149632819	149883273	272	16	838503	-0.6672	0.74768	KIF5C
ENSG00000150556	2	149894621	150071776	524	44	838503	-0.5324	0.70277	LYPD6B
ENSG00000187123	2	150186499	150330662	245	25	838503	-0.70924	0.76091	LYPD6
ENSG00000168288	2	150426148	150444330	32	6	838503	-0.84154	0.79998	MMADHC
ENSG00000115963	2	151324709	151395525	130	17	838503	0.017933	0.49285	RND3
ENSG00000222031	2	151857734	151905288	203	24	838503	-0.5466	0.70767	AC023469.1
ENSG00000184898	2	152104454	152118393	26	5	838503	-0.4691	0.6805	RBM43
ENSG00000123609	2	152126979	152146571	68	8	838503	-0.13532	0.55382	NMI
ENSG00000123610	2	152214106	152236560	49	5	838503	-0.50398	0.69286	TNFAIP6
ENSG00000080345	2	152266397	152364527	167	16	838503	0.37742	0.35293	RIF1
ENSG00000183091	2	152341850	152591001	318	32	838503	0.10373	0.45869	NEB
ENSG00000162980	2	152645498	152685006	59	7	838503	0.064976	0.4741	ARL5A
ENSG00000182389	2	152689290	152955593	539	30	838503	-0.26584	0.60482	CACNB4
ENSG00000115145	2	152973315	153032506	128	12	838503	2.0714	0.019161	STAM2
ENSG00000157827	2	153191751	153506348	926	71	838503	2.0927	0.018186	FMNL2
ENSG00000196504	2	153508107	153574511	122	13	838503	-0.47244	0.68169	PRPF40A
ENSG00000177917	2	153574407	153617767	93	12	838503	-0.43312	0.66754	ARL6IP6
ENSG00000177519	2	154333852	154335322	1	1	838503	-0.10472	0.5417	RPRM
ENSG00000144278	2	154728426	155310361	1588	61	838503	0.22649	0.41041	GALNT13
ENSG00000162989	2	155554811	155714863	413	58	838503	1.9721	0.024301	KCNJ3
ENSG00000153234	2	157180944	157198860	12	4	838503	-0.1462	0.55812	NR4A2
ENSG00000115159	2	157291802	157470247	304	23	838503	1.2955	0.097569	GPD2
ENSG00000136542	2	158114110	158170723	95	8	838503	0.0253	0.48991	GALNT5
ENSG00000136541	2	158175137	158184225	4	2	838503	-1.2167	0.88815	ERMN
ENSG00000115165	2	158271131	158345473	131	17	838503	-1.1543	0.87581	CYTIP
ENSG00000123612	2	158383279	158485517	104	15	838503	-1.1639	0.87777	ACVR1C
ENSG00000115170	2	158592958	158732374	163	28	838503	-2.1828	0.98548	ACVR1
ENSG00000007001	2	158733214	158992666	719	72	838503	-0.95132	0.82928	UPP2
ENSG00000153237	2	159027593	159313265	1105	58	838503	-1.0545	0.85418	CCDC148
ENSG00000144283	2	159313476	159539391	626	27	838503	0.51148	0.30451	PKP4
ENSG00000163331	2	159651829	159719293	198	20	838503	1.7577	0.0394	DAPL1
ENSG00000115183	2	159825146	160089170	730	63	838503	-0.27186	0.60713	TANC1
ENSG00000196151	2	160092304	160143310	194	12	838503	-0.58627	0.72115	WDSUB1
ENSG00000123636	2	160175490	160473203	748	59	838503	-0.78875	0.78487	BAZ2B
ENSG00000136536	2	160569000	160627538	208	18	838503	-0.21168	0.58382	MARCH7
ENSG00000241399	2	160625364	160654753	97	17	838503	0.96004	0.16852	CD302
ENSG00000248672	2	160628362	160761221	502	43	838503	0.54625	0.29245	LY75-CD302
ENSG00000054219	2	160628362	160761260	502	43	838503	0.54625	0.29245	LY75
ENSG00000153246	2	160788519	160919121	423	48	838503	-0.96065	0.83164	PLA2R1
ENSG00000115221	2	160956177	161128399	439	45	838503	1.2831	0.099737	ITGB6
ENSG00000153250	2	161128662	161350305	449	41	838503	-0.175	0.56946	RBMS1
ENSG00000136560	2	161993419	162092732	139	13	838503	0.52711	0.29906	TANK
ENSG00000115233	2	162164549	162268228	130	14	838503	-0.12473	0.54963	PSMD14
ENSG00000136535	2	162272605	162282381	7	3	838503	-0.47079	0.6811	TBR1
ENSG00000144290	2	162280843	162841792	984	31	838503	-1.3199	0.90656	SLC4A10
ENSG00000197635	2	162848751	162931052	177	24	838503	-0.32498	0.6274	DPP4
ENSG00000115263	2	162999392	163008914	8	1	838503	-1.28	0.89973	GCG
ENSG00000078098	2	163027194	163101661	72	3	838503	-0.65769	0.74463	FAP
ENSG00000115267	2	163123589	163175213	92	3	838503	-0.60774	0.72832	IFIH1
ENSG00000115271	2	163175350	163228105	33	3	838503	-0.52691	0.70087	GCA
ENSG00000184611	2	163227917	163695240	772	51	838503	0.68971	0.24519	KCNH7
ENSG00000182263	2	164449906	164592522	186	23	838503	-0.29851	0.61734	FIGN
ENSG00000115290	2	165349322	165478358	178	27	838503	0.030645	0.48778	GRB14
ENSG00000082438	2	165510134	165700189	536	36	838503	-0.59382	0.72368	COBLL1
ENSG00000169507	2	165752696	165812035	174	21	838503	-1.0518	0.85356	SLC38A11
ENSG00000153253	2	165944032	166060577	240	22	838503	-0.64278	0.73982	SCN3A
ENSG00000136531	2	166095912	166248818	382	37	838503	0.73987	0.22969	SCN2A
ENSG00000178662	2	166326157	166545917	396	44	838503	-0.46348	0.67849	CSRNP3
ENSG00000115339	2	166604101	166651192	52	7	838503	-1.1153	0.86764	GALNT3
ENSG00000123607	2	166713985	166810353	219	24	838503	0.9415	0.17322	TTC21B
ENSG00000144285	2	166845670	166984523	409	31	838503	0.84568	0.19887	SCN1A
ENSG00000169432	2	167051695	167232503	534	49	838503	0.53039	0.29792	SCN9A
ENSG00000136546	2	167260083	167350757	203	22	838503	-1.2295	0.89055	SCN7A
ENSG00000163092	2	167744997	168116263	1127	39	838503	0.62341	0.26651	XIRP2
ENSG00000172318	2	168675182	168730551	70	13	838503	-0.093023	0.53706	B3GALT1
ENSG00000198648	2	168810530	169104651	938	61	838503	0.48688	0.31317	STK39
ENSG00000172292	2	169312372	169631644	871	74	838503	-0.75737	0.77558	CERS6
ENSG00000163072	2	169643049	169722024	183	24	838503	-0.54035	0.70552	NOSTRIN
ENSG00000152253	2	169690642	169769881	172	22	838503	-0.58362	0.72026	SPC25
ENSG00000152254	2	169757750	169766505	13	4	838503	0.6078	0.27166	G6PC2
ENSG00000073734	2	169779448	169887832	328	34	838503	-0.59879	0.72534	ABCB11
ENSG00000073737	2	169921299	169952677	24	5	838503	-0.61304	0.73008	DHRS9
ENSG00000081479	2	169983619	170219195	704	81	838503	-0.34533	0.63508	LRP2
ENSG00000163093	2	170335688	170382432	100	17	838503	0.87991	0.18945	BBS5
ENSG00000251569	2	170335990	170382432	100	17	838503	0.87991	0.18945	RP11-724O16.1
ENSG00000239474	2	170366212	170382772	25	9	838503	0.70259	0.24116	KLHL41
ENSG00000138399	2	170386259	170430385	102	17	838503	0.7511	0.2263	FASTKD1
ENSG00000138398	2	170440850	170497916	186	13	838503	0.47118	0.31875	PPIG
ENSG00000154479	2	170501935	170550943	176	10	838503	0.3736	0.35435	CCDC173
ENSG00000144362	2	170550975	170558218	9	2	838503	-0.26599	0.60488	PHOSPHO2
ENSG00000213160	2	170550998	170633499	314	30	838503	0.26358	0.39605	KLHL23
ENSG00000138385	2	170648443	170668574	53	12	838503	-1.2206	0.88888	SSB
ENSG00000138382	2	170666591	170681441	44	9	838503	-1.194	0.88376	METTL5
ENSG00000144357	2	170683968	170940641	808	30	838503	-1.591	0.94419	UBR3
ENSG00000071909	2	171034655	171511681	1479	171	838503	-0.72903	0.76701	MYO3B
ENSG00000222033	2	171568961	171571077	2	1	838503	-0.55167	0.70941	LINC01124
ENSG00000204335	2	171571861	171574588	5	2	838503	0.13399	0.44671	SP5
ENSG00000204334	2	171640296	171655481	34	4	838503	0.35148	0.36261	ERICH2
ENSG00000128683	2	171669723	171717661	108	14	838503	1.5642	0.058889	GAD1
ENSG00000115806	2	171784974	171823639	80	11	838503	0.81087	0.20872	GORASP2
ENSG00000198586	2	171847333	172087824	521	23	838503	0.79676	0.2128	TLK1
ENSG00000123600	2	172173919	172291312	193	24	838503	1.2113	0.11288	METTL8
ENSG00000115827	2	172290727	172341562	143	9	838503	-0.11235	0.54473	DCAF17
ENSG00000071967	2	172378757	172414643	113	19	838503	1.5768	0.057426	CYBRD1
ENSG00000077380	2	172543919	172604930	106	14	838503	0.59861	0.27472	DYNC1I2
ENSG00000268821	2	172560844	172567314	9	3	838503	-0.19416	0.57698	AC068039.1
ENSG00000115840	2	172640880	172864766	422	32	838503	0.51192	0.30435	SLC25A12
ENSG00000128708	2	172778958	172848599	119	16	838503	0.80855	0.20939	HAT1
ENSG00000172878	2	172864490	172947158	181	23	838503	-0.13215	0.55257	METAP1D
ENSG00000144355	2	172949468	172954405	5	3	838503	0.18713	0.42578	DLX1
ENSG00000115844	2	172964167	172967628	2	1	838503	0.12139	0.45169	DLX2
ENSG00000091409	2	173292082	173371181	317	34	838503	0.2897	0.38602	ITGA6
ENSG00000152256	2	173420101	173489823	168	11	838503	-0.56758	0.71484	PDK1
ENSG00000091428	2	173600002	173917621	809	76	838503	-0.9547	0.83014	RAPGEF4
ENSG00000091436	2	173940163	174132738	555	42	838503	0.36459	0.35771	MLTK
ENSG00000144354	2	174219548	174233725	45	10	838503	-0.29432	0.61575	CDCA7
ENSG00000172845	2	174771187	174830430	170	19	838503	0.81699	0.20697	SP3
ENSG00000138430	2	174937175	175113426	449	25	838503	0.42792	0.33435	OLA1
ENSG00000217236	2	175199674	175203220	12	4	838503	1.1834	0.11832	SP9
ENSG00000268241	2	175200601	175202151	2	1	838503	-0.7954	0.78681	AC018470.1
ENSG00000138433	2	175212750	175260443	77	10	838503	1.7611	0.03911	CIR1
ENSG00000144306	2	175260458	175294303	92	6	838503	1.9402	0.026179	SCRN3
ENSG00000163328	2	175296966	175351822	95	12	838503	0.42153	0.33668	GPR155
ENSG00000115935	2	175424300	175547644	171	25	838503	2.2609	0.011881	WIPF1
ENSG00000138435	2	175612320	175629200	44	8	838503	-1.3565	0.91252	CHRNA1
ENSG00000128656	2	175664091	175870097	212	11	838503	1.5618	0.059163	CHN1
ENSG00000115966	2	175936978	176033110	171	11	838503	1.2677	0.10245	ATF2
ENSG00000154518	2	176040986	176049335	27	4	838503	1.6419	0.050306	ATP5G3
ENSG00000144320	2	176788620	176867567	170	22	838503	0.16166	0.43579	KIAA1715
ENSG00000174279	2	176942200	176948641	5	2	838503	0.091861	0.4634	EVX2
ENSG00000128714	2	176957619	176960666	3	1	838503	-0.11007	0.54382	HOXD13
ENSG00000170178	2	176964458	176966408	3	1	838503	-0.16781	0.56663	HOXD12
ENSG00000128713	2	176968944	176974722	8	2	838503	-0.15895	0.56315	HOXD11
ENSG00000128710	2	176973518	176984670	16	4	838503	-0.90865	0.81823	HOXD10
ENSG00000128709	2	176987088	176989853	5	2	838503	0.82888	0.20359	HOXD9
ENSG00000175879	2	176994422	176997423	4	2	838503	1.2761	0.10095	HOXD8
ENSG00000128652	2	177001340	177037830	69	12	838503	0.046572	0.48143	HOXD3
ENSG00000170166	2	177015950	177017954	4	2	838503	-0.92745	0.82315	HOXD4
